nom,commune1,anneelivraison
Rue de Boutras,Grigny,2019
Allée du Parc Technologique,Saint-Priest,2014
Chemin des Grenettes,Quincieux,2021
Bassin de Minerve,Saint-Priest,2015
Rue Condorcet,Saint-Priest,2014
Promenade Lénine,Vaulx-en-Velin,2017
Grande Rue de la Rotonnière,Grigny,2014
Rue François Héritier ,Villeurbanne,2022
Rue Combet,Villeurbanne,2022
Avenue de la Colombe,Grigny,2018
8ème Rue Cité Berliet,Saint-Priest,2012
Rue des Collières,Mions,0
Rond-point des Monts d'Or,Lyon 9e Arrondissement,2017
Chemin de Bellegarde,Neuville-sur-Saône,2021
Rue Guillaume Apollinaire,Meyzieu,2020
Rue des Augustins,Lyon 1er Arrondissement,2014
Avenue de l'Europe,Rillieux-la-Pape,2009
Rue Masséna,Lyon 6e Arrondissement,2021
"Chemin de Liasse, de l'Avenue de Verdun au n°20",Dardilly,2023
Rue de l'Abbé Rozier,Lyon 1er Arrondissement,2010
Rue Bellecordière,Lyon 2e Arrondissement,2010
Rue de la Bussière,Oullins,2020
Rue Voltaire,Pierre-Bénite,2021
Rue d'Alsace,Villeurbanne,2011
Rue du Chêne prolongée,Chassieu,0
Rue du Chapeau Rouge,Lyon 9e Arrondissement,2017
Rue de la Sara,Oullins,2015
Rue Philibert Delorme,Lyon 1er Arrondissement,2016
Rue Charles Simon,Givors,2016
Rue Godefroy,Lyon 6e Arrondissement,2019
Rue Dugas Montbel,Lyon 2e Arrondissement,2016
Montée Saint Sébastien,Lyon 1er Arrondissement,2021
Rue Lafontaine,Villeurbanne,2022
Rue Lafontaine,Villeurbanne,2022
Rue Ambroise Paré,Saint-Priest,2015
Montée des Autrichiens,Givors,2008
Rue Paul Montrochet,Lyon 2e Arrondissement,2012
"Rue du 8 Mai 1945, entre la Rue Michel Rocard et l'Avenue Roger Salengro",Villeurbanne,2023
Rue Jacques Daligand,Bron,2017
Rue Bergonier,Villeurbanne,2017
Rue Magenta,Villeurbanne,2019
Rue Maurice Flandin,Lyon 3e Arrondissement,2020
Boulevard de la Bataille de Stalingrad,Villeurbanne,2020
Rue Bizet,Écully,2019
Chemin de Pressin,Saint-Genis-Laval,2022
Rue du Bourbonnais,Lyon 9e Arrondissement,2014
Rue Saint-Isidore,Lyon 3e Arrondissement,2019
Avenue Georges Pompidou,Saint-Priest,2018
Rue Ravat,Lyon 2e Arrondissement,2016
"Rue des Cuirassiers, entre la Rue Desaix et la Rue Paul Bert",Lyon 3e Arrondissement,2023
Grande Rue,Francheville,2021
Rue du Collovrier,Écully,0
Rue Madier Montjau,Saint-Fons,2019
Rue du Dauphiné,Corbas,0
Avenue de Verdun,Meyzieu,0
Rue de Bourgogne,Saint-Priest,2008
Rue des Etoiles,Bron,2012
Rue Georges Bizet prolongée,Décines-Charpieu,0
"Rue Crépet, de Rue Michel Félizat à Rue Félix Brun",Lyon 7e Arrondissement,2023
Rue des Moissons,Saint-Fons,2020
Rue Godefroy,Lyon 6e Arrondissement,2019
Rue Ferrachat,Lyon 5e Arrondissement,2022
Avenue Maurice Jarrosson,Sainte-Foy-lès-Lyon,0
Rue Pierre Dupont,Fontaines-Saint-Martin,2021
Allée Eugène Niboyet,Lyon 7e Arrondissement,2017
Rue Colonel Henri Rol Tanguy,Vaulx-en-Velin,2017
Route d'Heyrieux,Saint-Priest,0
Rue Moncey,Lyon 3e Arrondissement,2018
Rue Turenne,Lyon 3e Arrondissement,2018
Rue Louis Adam,Villeurbanne,2019
Rue du Parc,Oullins,2015
Rue Henri Brosse,Pierre-Bénite,2011
Rue du pont de Chabrol,Craponne,2020
Allée des Faisans,Vénissieux,0
Boulevard  Marcel Sembat,Vénissieux,2009
Chemin des Flachères,Charly,2017
Place Clair Tisseur,Sainte-Foy-lès-Lyon,2020
Chemin Petit,Caluire-et-Cuire,2019
Avenue Pierre Cot,Saint-Priest,2006
Rue Jérome Dulaar,Lyon 4e Arrondissement,2017
Rue Barthélémy Thimonnier,Tassin-la-Demi-Lune,2009
Rue d'Alsace,Villeurbanne,2019
Boulevard Emile Bollaert,Bron,0
Chemin du Pontet,Décines-Charpieu,2022
Boulevard Yves Farge,Saint-Fons,2019
Allée des Vernes,Décines-Charpieu,0
Rue du Sauveur,Lyon 7e Arrondissement,2021
Rue Georges Guiard,Vénissieux,2019
Rue Croix-Barret,Lyon 8e Arrondissement,2012
Rue Duguesclin,Lyon 3e Arrondissement,2002
Place Edouard Commette,Lyon 5e Arrondissement,2017
Avenue André Latarjet,Villeurbanne,2020
Chemin de Pommier,Jonage,0
Rue Descartes,Villeurbanne,2015
Rue André Lassagne,Caluire-et-Cuire,2022
Rue des Allobroges,Corbas,2011
Avenue Esquirol,Lyon 3e Arrondissement,2016
Rue Jean Larrivée,Lyon 3e Arrondissement,2018
Rue Saint Michel,Lyon 7e Arrondissement,2019
Rue Gabriel Ladevèze,Rillieux-la-Pape,2009
Place Prainet,Décines-Charpieu,2019
Chemin du Bruley,Dardilly,0
Rue du Docteur Reure,Saint-Genis-Laval,2015
Rue François Truffaut,Saint-Priest,2013
Rue Professeur René Guillet,Lyon 3e Arrondissement,2014
Rue Pauline Kergomard,Lyon 7e Arrondissement,2019
Ile de la Chèvre,Solaize,0
Avenue Général Eisenhower,Lyon 5e Arrondissement,2021
Avenue Antoine de Saint-Exupéry,Villeurbanne,2017
Avenue des Frères Lumière,Genay,2019
Rue Honoré Pététin,Givors,2019
Avenue de Poumeyrol,Caluire-et-Cuire,2010
Boulevard de l'Ouest,Sathonay-Camp,2012
Rue Berthelot,Villeurbanne,2019
Avenue Edouard Herriot,Bron,0
Rue Ferrachat,Lyon 5e Arrondissement,2022
Anneau Bleu,Meyzieu,0
Rue Maréchal Leclerc,Charly,2015
Routes d'Ecully et de Verdun,Dardilly,2008
Rue Auguste Delage,Chassieu,0
Rue Saint Michel,Lyon 7e Arrondissement,2021
Quai Rambaud,Lyon 2e Arrondissement,0
Rue de Cuire,Lyon 4e Arrondissement,2017
Rue de la République,Meyzieu,0
Rampe Passerelle de la Paix,Lyon 6e Arrondissement,2014
"Rue Rue Garibaldi, chaussée Est, entre Rue Montgolfier et Rue Tronchet",Lyon 6e Arrondissement,2022
Avenue de Poumeyrol,Caluire-et-Cuire,2019
Avenue des Taillis,Corbas,2016
Rue Pierre-Louis Bernaix,Villeurbanne,2016
Rue du 24 avril 1915,Meyzieu,2020
Rue Boissac,Lyon 2e Arrondissement,2016
Rue Louis Loucheur,Lyon 9e Arrondissement,2017
Rue de l'Avenir,Villeurbanne,2022
Avenue Jean Durand,Grigny,0
Avenue Pierre Allard,Bron,0
Petite rue Pasteur,Villeurbanne,2015
Avenue des Eglantines,Chassieu,2021
Avenue Jean Jaurès,Oullins,2019
Place Laurent Bel,Meyzieu,2023
Avenue Edouard Payen,Écully,2008
Rue de la Chèvre,Saint-Didier-au-Mont-d'Or,2021
Rue Octavie,Villeurbanne,2020
Place Saint Jean,Lyon 5e Arrondissement,2017
Rue Jacques Prévert (est),Givors,2011
Rue Jean Jaurès,Meyzieu,2014
Quai Georges Lévy,Givors,2010
Rue des Arpinières,Francheville,2011
Rue Anatole France,Décines-Charpieu,2019
Passage Claude Mussieu,Givors,2016
Rue Thirard,Saint-Fons,2019
Rue Pierre Sémard,Oullins,2020
Avenue Urbain le Verrier,Saint-Priest,2009
Cours Suchet,Lyon 2e Arrondissement,2018
Rue de Savy,Lyon 1er Arrondissement,2014
Rue du 4 Août 1789,Villeurbanne,2011
Allée des Villas,Lyon 6e Arrondissement,2009
Boulevard Pierre mendès France,Meyzieu,0
Rue de la République,Givors,2016
Rue Ornano,Lyon 1er Arrondissement,2016
Grande Rue,Vernaison,2017
Chemin du Pérollier,Écully,2018
