nom;commune1;insee1;commune2;insee2;reseau;financementac;typeamenagement;typeamenagement2;positionnement;senscirculation;environnement;localisation;typologiepiste;revetementpiste;domanialite;reglementation;zonecirculationapaisee;anneelivraison;longueur;observation;gid
Rue de Boutras;Grigny;69096;;;Réseau secondaire;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2019;221,41;Arrêté n° AR 2019/001 du 14/01/2019 // ABS de marquage le 25-08-2020 //;4451
Allée du Parc Technologique;Saint-Priest;69290;;;Réseau de desserte;OR DIEM/STEP;Voie verte;;Sans objet;Double;Parc;Sans objet;;;Métropole;Voie verte;;2014;392,91;;2252
Chemin des Grenettes;Quincieux;69163;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);;2021;1150,48;Arrêté n°2020/204 le 08/12/20;6416
Bassin de Minerve;Saint-Priest;69290;;;Réseau de desserte;PPI (DMOU);Voie verte;;Sans objet;Double;Parc;Sans objet;Autre;Matériaux non liés (sable compacté et stabilisé);Métropole;Voie verte;;2015;121,06;;2512
Rue Condorcet;Saint-Priest;69290;;;Réseau de desserte;PPI DGEEP VTP;Voie verte;;Sans objet;Double;Parc;Sans objet;Autre;Matériaux non liés (sable compacté et stabilisé);Métropole;Voie verte;;2014;150,11;;2323
Promenade Lénine;Vaulx-en-Velin;69256;;;Réseau secondaire;OR DIEM/STEP;Voie verte;;Sans objet;Double;Parc;Sans objet;;;Métropole;Voie verte;;2017;54,60;;3434
Grande Rue de la Rotonnière;Grigny;69096;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone de rencontre;2014;186,79;Zone de rencontre;2306
Rue François Héritier ;Villeurbanne;69266;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);;2022;231,07;;6783
Rue Combet;Villeurbanne;69266;;;Réseau de desserte;;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2022;79,72;Arrêté 2022P0133-LP du 04/11/2022;6724
Avenue de la Colombe;Grigny;69096;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Chaussée à voie centrale banalisée (CVCB);;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;Zone 30;2018;894,98;;4079
8ème Rue Cité Berliet;Saint-Priest;69290;;;Réseau secondaire;PPI DGEEP VTP;Piste Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur trottoir;Piste sur trottoir;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo facultatif;Zone 30;2012;37,18;;5870
Rue des Collières;Mions;69283;;;Réseau secondaire;OR DIEM/STEP;Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;;81,94;;1626
Rond-point des Monts d'Or;Lyon 9e Arrondissement;69389;;;Réseau de desserte;OR DIEM/STEP;Piste Cyclable;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur trottoir;Piste sur trottoir;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo facultatif;;2017;54,09;Arrêté N°2017RP34014 du 01/12/2017;3751
Chemin de Bellegarde;Neuville-sur-Saône;69143;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2021;93,09;Arrêté n°8788 le 18/06/21 // ABS de marquage 03-0322 //;6232
Rue Guillaume Apollinaire;Meyzieu;69282;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Chaussée à voie centrale banalisée (CVCB);;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2020;540,59;Arrêté n°19-R-1724 le 09/12/19;5925
Rue des Augustins;Lyon 1er Arrondissement;69381;;;Réseau de desserte;OI DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone de rencontre;2014;167,86;Zone de rencontre Sathonay;2219
Avenue de l'Europe;Rillieux-la-Pape;69286;;;Réseau de desserte;PPI (DMOU);Voie verte;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur trottoir;Autre;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Voie verte;;2009;340,69;;1631
Rue Masséna;Lyon 6e Arrondissement;69386;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2021;671,28;Arrêté n°2021RP39779 le 15/12/21;6551
Chemin de Liasse, de l'Avenue de Verdun au n°20;Dardilly;69072;;;Réseau secondaire;;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;Zone 30;2023;309,26;Arrêté n°599-AR2022 du 14/03/23;6828
Rue de l'Abbé Rozier;Lyon 1er Arrondissement;69381;;;Réseau secondaire;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2010;60,86;Zone 30;947
Rue Bellecordière;Lyon 2e Arrondissement;69382;;;Réseau secondaire;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone de rencontre;2010;188,46;zone 30;854
Rue de la Bussière;Oullins;69149;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2020;342,39;Arrêté n°PM19-16 du 07/06/2019 (Zone 30);5237
Rue Voltaire;Pierre-Bénite;69152;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2021;368,61;Arrêté n°VILLE2021AR120 le 01/07/21 // ABS de marquage 18-11-21 //;6254
Rue d'Alsace;Villeurbanne;69266;;;Réseau secondaire;OI DIEM/STEP;Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2011;81,24;;847
Rue du Chêne prolongée;Chassieu;69271;;;Réseau de desserte;OR DIEM/STEP;Piste Cyclable;;Unilatérale bidirectionnelle;Double;Sans objet;Sans objet;Autre;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;;;;84,87;;4027
Rue du Chapeau Rouge;Lyon 9e Arrondissement;69389;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;Piste sur chaussée;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Contresens (sens réservé);Zone 30;2017;286,24;;3773
Rue de la Sara;Oullins;69149;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2015;232,15;Zone 30;2462
Rue Philibert Delorme;Lyon 1er Arrondissement;69381;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2016;43,58;Zone 30;3051
